city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,4.97,24.82,4.66,4.57,3.67,3.59,6.34,0.81,0.83,0.82,1.58,1.14,1.21,3.67,3.37,1.43,1.62,0.64,1.1,5.4,0.6,1.14,0.74,1.03,0.67,1.75,2.14,1.15,1.41,1.9,2.14,8.99,5.26,4.33,3.36,18.57,30.31,24.54,4.95,27.44,4.15,0.71,3.46,1.84,1.53,1.12,1.16,0.95,2.52,1.58,2.63,0.83,1.36,1.61,0.72,5.92,2.28,0.64,3.16,1.97,2.39,1.57,3.17,0.35,0.66,1.22,1.1,1.48,1.3,1.96,1.41,1.25,1.68,0.88,0.75,0.91,2.58,2.51,0.78,1.85,0.95,1.19,1.12,1.21,0.91,1.29,1.71,1.62,2.37,1.94,2.57,1.85,1.26,1.75,1.97,0.99,2.32,1.31,0.98,1.84,0.48,0.29,0.69,0.25,0.38,0.59,0.71,0.37,0.53,0.44,0.27,0.36,0.27,0.51,0.58,0.98,0.33,0.29,0.52,0.37,0.29,0.53,0.61,0.32,0.34,0.53,0.48,0.5,0.38,0.36,0.38,0.57,1.13,0.39,0.67,0.47,0.75,0.39,0.43,0.47,0.38,0.41,0.4,0.38,0.32,0.16,0.56,0.29,0.44,0.5,0.44,0.25,0.37,0.2,0.26,0.42,0.44,0.41,0.73,0.27,0.61,0.73,0.8,0.86,0.9,1.52,0.99,0.95,1.43,1.44,0.78,0.62,1.04,1.65,1.55,0.87,1.52,0.37,0.58,0.78,0.65,1.26,0.69,0.78,1.02,1.25,0.6,0.54,0.81,2.18,0.77,1.96,1.24,1.36,,0.36,0.19,0.83,0.7,0.73,0.11,0.4,0.69,0.46,0.5,0.39,0.91,0.33,,0.26,0.38,0.29,0.4,0.22,0.54,0.68,0.91,0.28,0.52,0.4,0.76,0.61,0.41,0.37,0.11,0.32,0.63,0.18,0.2,0.22,0.39,0.14,0.24,0.1,0.31,0.15,0.09,0.21,0.1,,0.19,0.11,0.12,0.16,0.22,0.16,0.87,0.32,0.71,0.14,0.11,0.13,0.14,,0.18,0.05,,0.05,0.3,2.59,,,0.29,0.14,0.11,0.18,0.14,0.22,0.31,0.05,0.06,0.15,0.2,0.09,0.22,0.15,0.26,0.12,0.26,0.06,0.07,0.12,0.14,0.18,0.25,0.21,0.26,0.76,0.16,0.19,0.1,,0.25,0.12,0.13,0.47,0.04,0.82,0.04,0.09,0.05,0.08,,0.68,0.47,0.1,,0.08,0.32,,,,,,,0.45,0.61,0.82,0.37,0.77,0.64,0.78,0.69,0.96,0.58,0.49,0.27,0.93,0.5,1.05,0.63,0.52,0.61,0.74,1.23,0.44,0.78,0.35,0.1,0.63,,0.12,,0.05,,0.1,0.1,0.51,0.38,0.24,0.22,0.3,0.52,0.53,,,0.28,0.16,0.34,0.43,0.11,0.3,0.92,0.43,0.07,0.25,
天津市,3.28,,12.54,1.24,1.09,1.34,1.31,2.04,0.25,0.23,,0.36,0.28,,1.73,0.63,0.23,,,0.27,1.01,0.13,0.24,,0.28,,0.39,0.49,0.26,0.28,0.58,0.91,17.01,3.38,5.4,1.2,2.61,2.77,4.12,14.36,10.74,1.91,0.19,0.81,0.54,0.47,0.28,0.43,0.34,0.38,0.47,0.52,0.4,0.37,0.35,0.09,1.28,0.49,0.1,1.01,0.4,0.64,0.41,0.76,0.11,0.26,0.4,0.32,0.55,0.58,0.64,0.51,0.47,0.48,0.28,0.27,0.4,0.7,1.15,0.27,0.72,0.29,0.42,0.79,0.57,0.33,0.35,0.39,0.59,0.8,0.56,0.48,0.26,0.34,0.59,0.54,0.15,0.78,0.45,0.27,0.13,0.12,,0.19,0.08,,,0.16,0.06,0.21,0.14,,0.12,0.12,0.16,,0.19,,,,,,0.18,,,0.06,0.11,0.11,0.12,,0.12,0.1,0.14,0.24,0.07,0.3,0.06,0.07,0.12,0.08,,0.09,0.09,0.16,,0.1,,0.08,0.09,0.11,0.08,0.06,,,,,,,,,,0.27,0.31,0.33,0.3,0.51,0.5,0.36,0.34,0.51,0.44,0.26,0.1,0.34,2.18,0.54,1.14,0.49,0.07,0.08,0.21,0.14,0.43,0.14,0.18,0.13,0.29,0.08,0.08,0.11,0.22,0.23,0.28,0.17,0.19,,0.06,,0.15,,,0.07,,0.08,,0.12,0.13,0.12,,,0.04,,,,,,,,,,,,,,,,,0.15,,,,0.13,0.03,,,,,,,,,,,,,0.05,0.04,0.2,,0.25,0.1,,,,,,,,,0.07,0.52,0.71,,0.07,,,,,,0.07,,,,0.06,,,,,,0.06,,0.03,,,,0.04,0.07,0.05,,,,,,0.07,,0.05,0.05,,0.22,,,0.08,,,0.18,0.05,0.04,0.04,,,,,,,,,0.12,0.07,0.07,0.07,0.09,0.13,,0.12,0.17,,0.11,,0.09,0.09,0.12,0.2,,0.14,0.15,0.44,0.11,0.18,0.14,0.1,0.15,,,0.04,,,,,0.1,0.06,0.05,0.04,0.05,0.18,0.08,,,0.06,,,0.07,0.13,0.13,0.45,0.1,,0.1,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.54,0.34,0.51,0.99,0.63,1.52,1.77,2.24,,6.03,4.1,5.1,1.51,2.19,1.54,1.81,1.36,0.88,0.47,0.75,2.28,0.53,0.91,0.54,0.71,1.02,1.0,1.11,0.6,0.44,1.08,0.23,0.3,0.28,0.33,0.18,0.19,0.64,0.18,0.19,0.15,0.18,0.24,0.21,0.14,0.29,0.19,0.15,0.3,0.73,0.18,0.49,0.15,0.29,0.27,0.24,0.53,0.14,0.13,0.42,0.23,0.11,0.18,0.25,0.07,0.38,0.78,0.39,0.57,0.38,0.36,0.22,0.51,0.45,0.31,0.17,0.23,0.25,0.28,0.39,0.97,0.24,0.3,0.39,2.54,0.2,0.18,1.03,0.8,0.62,0.88,0.19,0.3,0.27,0.63,0.33,0.4,0.7,0.19,0.16,0.55,1.11,2.17,1.23,1.93,4.84,9.1,1.38,1.94,4.91,2.34,1.67,3.24,1.88,1.78,2.1,1.78,6.95,3.63,2.69,1.49,1.29,12.64,2.19,1.49,0.78,1.7,1.63,2.53,1.11,0.95,1.4,1.64,3.83,1.8,2.34,0.94,2.6,1.53,1.38,4.17,0.43,0.53,0.33,0.52,0.31,0.42,1.09,0.37,1.11,0.65,0.86,0.42,0.87,0.99,1.09,0.57,0.67,0.68,1.09,1.21,0.2,0.39,0.34,0.85,0.28,0.62,0.35,0.45,0.53,0.66,0.36,0.23,0.92,0.15,0.31,0.17,0.59,0.2,0.3,0.61,0.42,0.32,0.27,0.26,0.35,0.29,0.32,0.22,0.61,0.79,0.81,1.66,0.64,0.63,,0.31,0.46,0.69,0.47,0.56,0.28,0.46,0.27,0.42,0.91,0.53,0.53,0.49,,0.16,0.21,0.16,0.27,0.23,0.4,0.24,0.61,0.14,0.13,0.14,0.21,0.25,0.2,0.3,0.11,0.23,0.34,0.53,0.09,,0.46,0.05,0.08,,0.14,,,0.08,0.1,,,0.4,0.15,,0.15,0.11,0.49,0.06,0.72,0.19,0.08,0.04,0.05,,0.12,0.05,,0.13,0.17,1.15,0.35,,0.21,0.1,0.04,0.16,0.14,0.22,0.3,0.11,0.08,0.14,0.2,0.11,0.18,0.1,0.17,0.08,0.42,0.08,0.08,0.06,0.13,0.21,0.1,0.19,0.26,0.08,0.18,0.17,0.16,0.14,0.16,0.09,0.11,0.26,0.08,0.69,0.05,0.09,0.04,0.07,0.05,0.4,0.26,0.14,,0.17,0.36,,,,,0.33,,0.3,0.21,0.49,0.22,0.25,0.35,0.38,0.2,0.41,0.06,0.34,0.12,0.22,0.13,0.5,0.31,0.71,0.15,0.33,,0.22,0.28,0.22,0.04,0.34,,,,,,0.1,0.06,0.17,0.12,0.04,0.13,,0.32,0.2,,,0.15,0.14,0.25,,0.08,0.47,0.12,0.15,0.04,0.05,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
