city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,6.28,19.31,3.27,2.33,2.93,3.06,5.35,0.3,0.34,0.18,1.02,0.33,0.41,2.23,2.64,0.64,1.04,0.16,0.22,1.87,0.23,0.83,0.4,0.44,0.33,1.17,1.64,0.7,0.54,2.2,1.37,3.98,3.67,3.72,1.78,13.94,15.94,14.09,2.86,36.75,2.97,0.66,2.12,1.41,1.47,0.59,0.68,0.54,2.24,0.66,2.69,0.48,1.03,1.03,0.25,3.41,1.58,0.28,1.31,0.69,1.12,0.39,0.99,0.32,0.6,1.13,0.5,0.45,0.61,1.64,0.82,0.62,1.02,0.17,0.36,0.37,1.62,0.91,0.62,1.26,0.52,1.08,1.42,1.1,0.54,0.72,1.3,1.31,1.02,2.51,1.31,1.46,1.0,3.08,1.41,0.87,2.79,2.03,1.3,3.04,0.21,0.14,0.38,0.09,,0.2,0.46,0.19,0.37,0.1,0.15,0.16,0.17,0.18,,,,1.37,,,0.12,0.1,,1.37,0.26,0.49,0.56,0.39,0.26,0.22,0.44,0.61,0.48,0.32,0.54,0.31,0.66,0.37,0.11,0.17,0.2,0.07,0.18,0.21,0.1,0.07,0.23,0.07,0.13,0.19,0.34,0.13,0.25,0.28,0.2,0.23,0.18,0.13,0.16,0.11,0.65,0.57,0.43,0.6,0.49,0.92,0.64,0.55,0.8,0.78,0.3,0.27,0.45,1.58,1.34,0.39,1.21,0.28,0.38,0.68,0.56,1.64,0.51,0.57,0.41,1.26,0.35,0.35,0.48,2.52,0.65,2.29,1.09,1.25,1.37,0.22,,0.17,,0.24,0.18,0.16,0.16,0.3,0.19,0.15,0.29,0.08,1.37,0.17,0.22,1.37,0.36,0.21,0.27,0.46,0.72,1.37,0.55,1.37,0.38,0.57,0.5,0.07,,0.13,0.08,,,,0.11,0.06,0.04,,,,,0.21,,,,,,0.04,0.07,,1.37,0.06,1.37,,1.37,1.37,1.37,1.37,,1.37,1.37,1.37,0.16,1.37,,1.37,0.19,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,0.1,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,0.14,,0.05,0.14,0.08,0.61,0.14,,0.03,,,0.1,0.18,0.06,0.07,0.08,1.37,,,,,1.37,,0.22,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,0.24,0.09,1.37,0.25,1.37,1.37,1.37,0.55,1.37,1.37,1.37,1.5,1.37,1.37,1.37,,1.37,,1.37,1.37,1.37,1.37,0.24,1.37,1.37,1.37,1.37,0.71,1.37,,,0.22,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
天津市,5.55,,16.76,1.77,1.76,2.06,1.41,2.0,0.15,0.26,,0.33,,,2.58,1.01,0.2,0.16,,,0.45,0.12,0.27,,,0.28,0.43,0.69,0.66,0.27,0.64,0.75,23.4,4.3,6.14,1.78,4.12,5.88,3.78,19.16,14.91,3.06,0.27,1.34,1.02,0.85,0.25,0.74,0.44,0.57,0.68,0.81,0.57,0.66,1.22,0.13,1.69,1.14,0.29,0.65,0.84,0.99,0.52,0.76,0.18,0.31,0.76,0.32,0.27,0.21,0.5,0.49,0.52,0.84,0.11,0.56,0.21,0.91,1.32,0.25,0.52,0.36,0.59,0.81,0.31,0.26,0.29,0.35,0.56,0.41,0.62,0.52,0.93,0.48,0.94,0.45,0.34,0.69,0.9,0.31,0.5,,,0.38,,,0.15,0.35,0.16,0.42,0.13,0.07,0.13,0.11,,,,,0.75,,,,0.14,,0.75,,0.08,0.14,0.06,0.1,0.04,0.14,0.25,0.12,0.11,0.35,0.12,0.07,0.12,0.2,,0.12,,0.1,,,,,0.06,0.13,0.09,,,,0.12,,,,,,,0.53,0.51,0.67,0.33,0.88,0.62,0.74,0.46,0.84,0.69,0.17,0.12,0.43,3.05,1.38,1.73,0.66,0.12,0.25,0.2,0.14,0.72,0.49,0.48,0.32,0.8,0.15,0.13,0.17,0.52,0.25,0.2,0.33,0.39,0.75,0.07,,0.17,0.06,0.07,,,0.06,,0.08,,,0.08,0.75,0.05,,0.75,0.06,,0.09,0.07,,0.75,0.11,0.75,,,,,,,,,,,,0.11,,,,,,0.1,,,,,,,,,0.75,,0.75,0.1,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.06,0.75,,0.75,0.09,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,0.03,0.07,,0.04,0.03,,0.05,,,,,0.06,,0.08,0.75,,,,,0.75,,0.09,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.12,0.12,0.75,0.16,0.75,0.75,0.75,0.37,0.75,0.75,0.75,0.62,0.75,0.75,0.75,,0.75,0.71,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,0.3,0.75,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.38,0.3,0.33,0.54,0.23,0.82,1.06,1.05,,11.04,4.02,4.66,0.91,1.75,1.27,2.13,0.71,0.64,0.24,0.4,1.07,0.43,0.78,0.34,0.6,0.13,0.54,1.27,0.69,0.27,0.83,1.87,0.29,0.31,0.34,0.17,0.18,0.14,,0.16,0.09,0.1,0.19,0.1,0.12,0.21,0.19,0.04,0.11,0.41,0.12,0.3,0.11,0.16,0.11,0.03,0.25,0.2,,0.25,0.08,0.04,0.06,0.11,0.07,0.22,0.65,0.12,0.13,0.16,0.15,0.13,0.17,0.04,0.09,0.11,0.08,0.09,0.11,0.34,0.31,0.12,0.09,0.36,0.71,0.07,0.09,0.55,0.35,0.25,0.5,0.39,0.4,0.21,0.23,0.12,0.17,0.19,0.67,0.12,,1.58,3.4,1.15,2.23,13.15,10.68,1.48,1.77,4.74,2.28,1.77,2.84,1.93,2.41,1.96,0.58,9.67,1.87,1.63,0.76,1.12,16.05,1.06,1.87,1.11,2.07,2.39,3.27,1.32,1.01,1.14,1.8,1.73,1.35,2.17,1.22,2.37,1.86,1.51,3.34,0.51,0.18,0.32,0.4,0.18,0.16,1.08,0.15,1.35,0.68,0.69,0.36,1.11,0.32,1.17,0.63,0.64,0.43,1.44,1.35,0.15,0.46,0.19,0.92,0.15,0.59,0.31,0.47,0.2,0.98,0.26,0.22,1.04,0.12,0.27,0.07,0.8,0.28,0.5,0.68,0.67,0.32,0.49,0.38,0.53,0.47,0.45,0.28,0.34,0.8,1.14,1.69,1.17,0.88,1.87,0.28,,0.34,0.22,0.21,0.09,0.12,0.19,0.05,0.25,0.2,0.19,0.21,1.87,0.16,0.17,1.87,0.27,0.12,0.24,0.26,0.2,1.87,0.08,1.87,0.14,0.15,0.21,0.13,0.11,0.17,0.09,0.09,,,0.12,0.08,0.05,,0.05,0.09,0.13,0.06,0.05,0.07,0.06,0.06,0.07,0.07,0.15,0.17,1.87,0.1,1.87,0.1,1.87,1.87,1.87,1.87,0.05,1.87,1.87,1.87,0.1,1.87,,1.87,0.18,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,0.15,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,0.18,0.1,0.09,0.11,0.08,0.38,0.19,0.24,0.12,0.1,0.08,0.19,0.25,0.19,0.18,0.04,1.87,,,,,1.87,,0.13,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,0.4,0.03,1.87,0.28,1.87,1.87,1.87,0.37,1.87,1.87,1.87,0.52,1.87,1.87,1.87,,1.87,,1.87,1.87,1.87,1.87,0.06,1.87,1.87,1.87,1.87,0.51,1.87,,,0.11,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
